Year,Make,Model,Used/New,Price,ConsumerRating,ConsumerReviews,SellerType,SellerName,SellerRating,SellerReviews,StreetName,State,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,ExteriorColor,InteriorColor,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock#,Mileage
2021,Tesla,Model 3 Standard Range Plus,Used,"$52,781 ",3,1,Dealer,Surprise Ford,2.8,259,16825 W Waddell Rd Surprise,AZ,85388,Great,3,4,5,2,4,1,Red Multi,Black,Rear-wheel Drive,150,133,–,1-Speed Automatic,Electric,5YJ3E1EA7MF060693,P3319A,18773
2020,Tesla,Model 3 Standard Range Plus,Used,"$48,963 ",4.3,16,Dealer,AutoNation INFINITI Tustin,4.6,676,33 Auto Center Dr Tustin,CA,92782,Good,4.6,4.4,4.6,4,4.2,4.4,Silver Gray,–,Rear-wheel Drive,148,132,–,1-Speed Automatic,Electric,5YJ3E1EA5LF630561,LF630561,30134
2021,Tesla,Model 3 Long Range,Used,"$60,283 ",3,1,Dealer,Shottenkirk Hyundai of Granbury,4.6,171,4960 E US Hwy 377 Granbury,TX,76049,Great,3,4,5,2,4,1,White,Black,All-wheel Drive,141,127,Gasoline,1-Speed Automatic,10 Cylinder,5YJ3E1EB6MF975303,MF975303H,16367
2022,Tesla,Model 3 Long Range,Used,"$65,499 ",4.8,2,Dealer,Koons Clarksville Chevy Buick GMC,4.5,388,12421 Auto Dr Clarksville,MD,21029,Great,5,4.5,5,4.5,4.5,5,Deep Blue Metallic,Black,All-wheel Drive,134,126,Electric,1 speed automatic,Electric Motor,5YJ3E1EB4NF114736,000P6585,4921
2019,Tesla,Model 3 Standard Range Plus,Used,"$45,992 ",4.9,33,Dealer,AutoNation Toyota Tempe,4.6,2395,7970 S Autoplex Loop Tempe,AZ,85284,Great,4.9,4.9,5,4.8,4.9,5,Black,–,Rear-wheel Drive,140,124,Electric,1-Speed Automatic,Electric,5YJ3E1EA7KF305506,KF305506,59745
2018,Tesla,Model 3 Long Range,Used,"$48,982 ",4.6,117,Dealer,Warren Henry Auto Group,4.8,531,2300 NE 151st St North Miami,FL,33181,Great,4.7,4.7,4.9,4.4,4.7,4.6,Black,Black,Rear-wheel Drive,136,123,Electric,1-Speed Automatic,Electric,5YJ3E1EA0JF151901,NJF151901T,32704
2019,Tesla,Model 3 Long Range,Used,"$54,998 ",4.9,33,Dealer,"Delaware Cadillac, Subaru, Kia",4.8,944,1606 Pennsylvania Ave Wilmington,DE,19806,Good,4.9,4.9,5,4.8,4.9,5,Red Multi,Black,Rear-wheel Drive,136,123,Electric,1-Speed Automatic,Electric,5YJ3E1EA7KF329501,EV1837P,7909
2021,Tesla,Model Y Long Range,Used,"$65,869 ",4,15,Dealer,Tracy Volkswagen,3.5,26,2605 Auto Plaza Way Tracy,CA,95304,Great,4.1,4.2,4.3,3.7,4.2,3.8,Pearl White Multi,White / Black,All-wheel Drive,131,117,Electric,1-Speed Automatic,Electric,5YJYGDEE2MF102871,P16994,57476
2018,Tesla,Model 3 Mid Range,Used,"$47,900 ",4.6,117,Dealer,Koons Woodbridge Hyundai,3.9,35,1880 Opitz Blvd Woodbridge,VA,22191,Great,4.7,4.7,4.9,4.4,4.7,4.6,Black,Black,Rear-wheel Drive,128,117,Electric,1-Speed Automatic,Electric,5YJ3E1EA1JF156640,P12390A,46289
2019,Tesla,Model 3 Mid Range,Used,"$49,999 ",4.9,33,Dealer,CarVision of Maple Shade,4.8,562,2791 Route 73 South Maple Shade,NJ,8052,Good,4.9,4.9,5,4.8,4.9,5,Black,Black,Rear-wheel Drive,128,117,Electric,1-Speed Automatic,Electric,5YJ3E1EA6KF484556,484556,18565
2020,Tesla,Model 3 Long Range,Used,"$52,488 ",4.3,16,Dealer,Tracy Volkswagen,3.5,26,2605 Auto Plaza Way Tracy,CA,95304,Great,4.6,4.4,4.6,4,4.2,4.4,Black,White / Black,All-wheel Drive,124,116,Gasoline,1-Speed Automatic,10 Cylinder,5YJ3E1EB9LF638946,P16956A,49666
2020,Tesla,Model Y Long Range,Used,"$62,995 ",3.7,10,Dealer,NEXCAR,1.6,7,2980 W Oakland Park Blvd Oakland Park,FL,33311,Good,3.9,3.8,4.1,3.3,3.8,4,Red Multi,Black,All-wheel Drive,127,114,Electric,1-Speed Automatic,Electric,5YJYGDEE3LF009498,2240,49366
2019,Tesla,Model 3 Performance,Used,"$57,775 ",4.9,33,Dealer,Highline Auto Sales,4.6,327,555 Executive Dr Willowbrook,IL,60527,Great,4.9,4.9,5,4.8,4.9,5,Pearl White Multi,Black,All-wheel Drive,120,112,Electric,1-Speed Automatic,Electric,5YJ3E1EB6KF393182,HL6229,42427
2018,Tesla,Model 3 Performance,Used,"$58,998 ",4.6,117,Dealer,Pikes Peak Acura,3.8,242,655 Automotive Dr Colorado Springs,CO,80905,Good,4.7,4.7,4.9,4.4,4.7,4.6,Pearl White Multi,White,All-wheel Drive,120,112,Electric,1-Speed Automatic,Electric,5YJ3E1EB5JF081434,P1973,49583
2022,Tesla,Model S Plaid,Used,"$137,998 ",5,1,Dealer,CarMax Austin North - Now offering Curbside Pickup and Home Delivery,1.3,13,13300 N Interstate Hwy 35 Austin,TX,78753,Good,5,5,5,5,5,5,Red Multi,Cream,AWD,119,112,Electric,1-Speed Automatic,Electric,5YJSA1E60NF461376,23006485,2512
2019,Hyundai,Kona EV Limited,Used,"$31,975 ",4.8,13,Dealer,Bill Luke Tempe,4.8,1105,7833 S Autoplex Loop Tempe,AZ,85284,Good,4.8,4.9,4.9,4.8,4.7,4.8,Galactic Gray,Black,Front-wheel Drive,132,108,Electric,1-Speed Automatic,Electric,KM8K33AG8KU051279,BF25217,48116
2019,Hyundai,Kona EV Ultimate,Used,"$37,975 ",4.8,13,Dealer,Bill Luke Tempe,4.8,1105,7833 S Autoplex Loop Tempe,AZ,85284,Good,4.8,4.9,4.9,4.8,4.7,4.8,Chalk White,Black,Front-wheel Drive,132,108,Electric,1-Speed Automatic,Electric,KM8K53AG1KU047438,BF25218,11696
2020,Tesla,Model 3 Performance,Used,"$60,400 ",4.3,16,Dealer,Leonardtown Ford,4.6,135,26322 Point Lookout Rd Leonardtown,MD,20650,Good,4.6,4.4,4.6,4,4.2,4.4,Black,Black,All-wheel Drive,118,107,–,1-Speed Automatic,0,5YJ3E1EC5LF602874,602874,46021
2021,Tesla,Model 3 Performance,Used,"$64,750 ",3,1,Dealer,eCarOne,4.9,1826,555 North East Loop 820 Hurst,TX,76053,Good,3,4,5,2,4,1,Pearl White Multi,White / Black,All-wheel Drive,118,107,Gasoline,1-Speed Automatic,10 Cylinder,5YJ3E1EC2MF054477,PMF054477,14055
2020,Tesla,Model Y Performance,Used,"$67,880 ",3.7,10,Dealer,Autos of Dallas,4.3,1341,4472 W Plano Pkwy Plano,TX,75093,Good,3.9,3.8,4.1,3.3,3.8,4,White,Black,All-wheel Drive,116,106,Electric,1-Speed Automatic,Electric,5YJYGDEF0LF003005,3005,27750
2021,Tesla,Model Y Performance,Used,"$69,898 ",4,15,Dealer,Toyota of Vero Beach,4.4,493,1075 South US Highway #1 Vero Beach,FL,32962,Good,4.1,4.2,4.3,3.7,4.2,3.8,Black,White / Black,All-wheel Drive,115,106,Electric,1-Speed Automatic,Electric,5YJYGDEF3MF099004,23589,28566
2018,Tesla,Model S 75D,Used,"$57,443 ",4.8,13,Dealer,Jack Carroll's Skagit Hyundai,4.7,369,1313 Goldenrod Rd Burlington,WA,98233,Good,4.9,4.8,5,4.4,4.9,4.9,Red Multi,–,AWD,102,105,Electric,1-Speed Automatic,Electric,5YJSA1E2XJF261628,11616A,58636
2018,Tesla,Model S 100D,Used,"$69,950 ",4.8,13,Dealer,Shift Bay Area,3.5,141,2000 Maritime St #100 Oakland,CA,94607,Good,4.9,4.8,5,4.4,4.9,4.9,Silver,White,AWD,101,102,Electric,1-Speed Automatic,Electric,5YJSA1E28JF272787,C1819545,32509
2016,Tesla,Model X 70D,Used,"$71,992 ",4.7,21,Dealer,AutoNation Honda Chandler,4.8,4504,1150 S Gilbert Rd Chandler,AZ,85286,Good,4.8,4.7,4.8,4.4,4.7,4.6,Black,–,All-wheel Drive,101,102,Electric,1-Speed Automatic,Electric,5YJXCBE2XGF007979,GF007979,49602
2020,Nissan,Leaf SV,Used,"$29,855 ",4.2,7,Dealer,Round Rock Nissan,4.5,666,3050 N Interstate 35 Round Rock,TX,78681,Good,4.3,4,4.3,4.3,4,5,Gun Metallic,Black,Front-wheel Drive,123,99,Electric,1-Speed Automatic,Electric,1N4AZ1CP6LC311255,LC311255,14303
2017,Tesla,Model X 75D,Used,"$69,950 ",4.7,27,Dealer,Shift Bay Area,3.5,141,2000 Maritime St #100 Oakland,CA,94607,Good,4.7,4.6,4.9,4.4,4.7,4.6,Blue,White,All-wheel Drive,91,95,Electric,1-Speed Automatic,Electric,5YJXCAE21HF068648,C116607,45184
2018,Tesla,Model X 75D,Used,"$76,498 ",4.5,15,Dealer,Winn Volkswagen,4.5,166,39695 Balentine Dr Newark,CA,94560,Good,4.6,4.6,4.7,4.3,4.9,4.1,Silver Metallic,Black,All-wheel Drive,91,95,Electric,1-Speed Automatic,Electric,5YJXCDE23JF121311,T10583,48307
2017,Tesla,Model X 90D,Used,"$74,991 ",4.7,27,Dealer,AutoNation Chrysler Dodge Jeep Ram Spring,4.5,1445,21027 I-45 Spring,TX,77388,Fair,4.7,4.6,4.9,4.4,4.7,4.6,White,–,All-wheel Drive,90,94,Electric,1-Speed Automatic,Electric,5YJXCAE2XHF073508,HF073508,63522
2021,Ford,Mustang Mach-E Select,Used,"$53,995 ",4.7,16,Dealer,Jaguar Land Rover Woodland Hills,4.3,500,22006 West Erwin Street Woodland Hills,CA,91367,Great,4.8,4.9,4.8,4.5,4.8,4.6,Rapid Red Metallic Tinted Clearcoat,–,RWD,105,93,Electric,1-Speed Automatic,Electric,3FMTK1RM2MMA43689,MMA43689,3044
2020,Tesla,Model X Long Range,Used,"$94,981 ",4.2,5,Dealer,Surprise Ford,2.8,259,16825 W Waddell Rd Surprise,AZ,85388,Good,4.2,4,4.8,3.8,4.2,4.4,White,Black,All-wheel Drive,99,93,Electric,1-Speed Automatic,Electric,5YJXCDE2XLF298599,P3303,36199
2016,Tesla,Model X P90D,Used,"$72,700 ",4.7,21,Dealer,Orlando INFINITI,4.8,816,4237 Millenia Blvd Orlando,FL,32839,Fair,4.8,4.7,4.8,4.4,4.7,4.6,–,–,All-wheel Drive,89,90,Electric,1-Speed Automatic,Electric,5YJXCBE40GF011802,P011802,46766
2018,Tesla,Model X 100D,Used,"$82,350 ",4.5,15,Dealer,Sheehy Ford Lincoln of Gaithersburg,4.9,3110,901 N. Frederick Ave. Gaithersburg,MD,20879,Fair,4.6,4.6,4.7,4.3,4.9,4.1,Deep Blue Metallic,Black,All-wheel Drive,86,89,Electric,1-Speed Automatic,Electric,5YJXCBE2XJF102386,CMA2543A,41321
2022,Hyundai,IONIQ 5 SE,Used,"$54,999 ",5,6,Dealer,Hyundai of Palatine,4.5,481,221 E Lake Cook Rd Palatine,IL,60074,NA,5,5,4.7,5,5,5,Phantom Black,Gray,All-wheel Drive,110,87,Electric,Automatic,Electric,KM8KMDAF7NU084241,D818,121
2021,Ford,Mustang Mach-E Premium,Used,"$66,495 ",4.7,16,Dealer,White Bear Lincoln,4.6,264,3425 N. Highway 61 White Bear Lake,MN,55110,Great,4.8,4.9,4.8,4.5,4.8,4.6,Gray,Black,All-wheel Drive,100,86,Electric,1-Speed Automatic,Electric,3FMTK3SU0MMA10714,P30281A,3304
2021,Porsche,Taycan Base,Used,"$99,999 ",5,2,Dealer,Porsche Marin,4.3,6,900 Redwood Hwy Mill Valley,CA,94941,Fair,5,5,5,5,5,5,Carrara White Metallic,Bordeaux Red,Rear-wheel Drive,76,84,Electric,2-Speed Automatic,Electric,WP0AA2Y10MSA14892,PMSA14892,14423
2021,Porsche,Taycan 4S,Used,"$129,990 ",5,2,Dealer,Porsche Marin,4.3,6,900 Redwood Hwy Mill Valley,CA,94941,NA,5,5,5,5,5,5,Gentian Blue Metallic,Slate Gray,All-wheel Drive,79,80,Electric,2-Speed Automatic,Electric,WP0AB2Y15MSA43253,PMSA43253,11776
2020,Tesla,Model X Performance,Used,"$122,222 ",4.2,5,Private,Joey,4.9,268,Hollywood,FL,33020,NA,4.2,4,4.8,3.8,4.2,4.4,White,White,All-wheel Drive,80,77,Electric Fuel System,1-Speed A/T,Electric Motor Electric Fuel System,5YJXCAE47LF229238,–,29918
2021,Audi,e-tron Prestige,Used,"$76,992 ",5,3,Dealer,AutoNation Chevrolet Gilbert,4.5,593,3215 S Auto Way Gilbert,AZ,85297,Good,5,5,5,5,5,5,Brilliant Black,Pearl Beige,All-wheel Drive,78,77,Electric,1-Speed Automatic,Electric,WA1VAAGE9MB038194,MB038194,13071
2019,Audi,e-tron Premium Plus,Used,"$62,990 ",4.5,24,Dealer,Audi Beaverton,4.8,2457,13745 SW Tualatin Valley Hwy Beaverton,OR,97005,Great,4.8,4.8,4.3,4,4.8,4.3,Mythos Black Metallic,Black,All-wheel Drive,74,73,Electric,1-Speed Automatic,Electric,WA1LABGE0KB022105,P8579A,18169
2019,Audi,e-tron Prestige,Used,"$62,999 ",4.5,24,Dealer,Audi Allentown,4.7,122,4725 Hamilton Blvd Allentown,PA,18103,Great,4.8,4.8,4.3,4,4.8,4.3,Daytona Gray Pearl Effect,Black,All-wheel Drive,74,73,Electric,1-Speed Automatic,Electric,WA1VAAGE6KB007501,20197501,32675
2020,Porsche,Taycan Turbo S,Used,"$173,987 ",3.9,2,Dealer,Porsche Mechanicsburg,5,60,6625 Carlise Pike Mechanicsburg,PA,17050,NA,4,5,5,2,4,4,Jet Black Metallic,Basalt Black,All-wheel Drive,67,68,Electric,2-Speed Automatic,Electric,WP0AC2Y15LSA70187,LSA70187,12705
2019,Toyota,Mirai Base,Toyota Certified,"$20,992 ",2.5,3,Dealer,Toyota Sunnyvale,4.8,6582,1124 W El Camino Real Sunnyvale,CA,94087,Great,3.7,3.3,2.3,1.7,3,2,Crystal White,Ocean Blue,Front-wheel Drive,66,66,Electric,1-Speed Automatic,Electric,JTDBVRBD8KA006706,UP19560,19697
2017,Toyota,Prius Four,Used,"$28,860 ",4.7,134,Dealer,Capitol Volkswagen,4,50,911 Capitol Expressway Auto Mall San Jose,CA,95136,Fair,4.7,4.5,4.8,4.8,4.6,4.9,Classic Silver Metallic,Black,Front-wheel Drive,54,50,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,JTDKBRFU3H3051875,CAR8427,48840
2020,Toyota,Prius LE,Used,"$28,869 ",4.7,18,Dealer,EchoPark Automotive Charleston Delivery Center,4.6,19,ONLINE ONLY Charleston,SC,29406,Good,4.8,4.7,4.7,4.6,4.8,4.6,Classic Silver Metallic,Black,Front-wheel Drive,54,50,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,JTDKARFU8L3108888,RL3108888,42203
2019,Toyota,Prius Limited,Toyota Certified,"$33,981 ",4.8,44,Dealer,Woburn Toyota,4.5,2464,394 Washington St Woburn,MA,1801,NA,4.9,4.7,4.9,4.8,4.8,4.9,Blizzard Pearl,Beige,Front-wheel Drive,54,50,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,JTDKARFU1K3080995,P15225,24050
2013,Toyota,Prius Three,Used,"$16,654 ",4.6,147,Dealer,Checkered Flag BMW & Mini,4.9,3037,5225 Virginia Beach Blvd Virginia Beach,VA,23462,Fair,4.6,4.5,4.6,4.7,4.5,4.8,Silver,–,Front-wheel Drive,51,48,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,JTDKN3DU0D0339145,B67624B,107171
2020,Toyota,Camry Hybrid SE,Used,"$32,998 ",4.6,16,Dealer,CarMax West Broad - Now offering Curbside Pickup and Home Delivery,2.3,16,11090 W Broad St Glen Allen,VA,23060,Good,4.9,4.8,4.3,4.4,4.9,4.6,White,Gray,Front-wheel Drive,44,47,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,4T1G31AK4LU013094,22942119,38822
2019,Lexus,ES 300h Base,Used,"$42,985 ",4.8,15,Dealer,AutoNation Honda Lewisville,4.5,1466,601 Waters Ridge Dr Lewisville,TX,75057,Fair,4.9,4.9,4.7,4.5,4.9,5,Atomic Silver,–,Front-wheel Drive,43,45,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,58AB21B1XKU002174,KU002174,46501
2016,Hyundai,Sonata Hybrid SE,Used,"$18,375 ",4.8,31,Dealer,Sheehy Hyundai of Waldorf,4.5,145,2910 Crain Hwy Waldorf,MD,20601,Good,4.8,4.7,4.7,4.9,4.8,4.7,Diamond White Pearl,Gray,Front-wheel Drive,40,44,Hybrid,6-Speed Automatic,2.0L I4 16V GDI DOHC Hybrid,KMHE24L14GA041503,V133896A,72278
2021,Toyota,Avalon Hybrid Limited,Toyota Certified,"$48,998 ",4.6,7,Dealer,Jones Used Cars,4.6,212,1413 Belair Rd Bel Air,MD,21014,Good,4.6,4.9,4.6,4.4,4.4,5,Desert Wind,–,Front-wheel Drive,43,43,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,4T1DA1AB5MU010876,T03892A,13473
2018,BMW,328d Base,Used,"$25,886 ",4.8,9,Dealer,Stevens Creek BMW,4.4,1572,4343 Stevens Creek Blvd Santa Clara,CA,95051,Good,4.9,4.8,4.9,4.7,4.7,4.6,Mineral Gray Metallic,Black,Rear-wheel Drive,31,43,Diesel,8-Speed Automatic,2.0L I4 16V DDI DOHC Turbo Diesel,WBA8E5C58JA246280,MJA246280,48689
2017,Honda,Civic EX-L,Used,"$25,696 ",4.8,743,Dealer,AutoNation Honda Columbus,4.7,842,3000 N Lake Pkwy Columbus,GA,31909,Good,4.7,4.7,4.8,4.8,4.8,4.8,Silver,–,FWD,32,42,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,19XFC1F79HE022593,HE022593,35518
2018,Honda,Civic EX-T,Used,"$26,580 ",4.8,546,Dealer,John Eagle Honda of Houston,1,2,18787 Northwest Fwy Houston,TX,77065,Fair,4.7,4.7,4.8,4.8,4.9,4.8,Crystal Black Pearl,Black,Front-wheel Drive,32,42,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,JHMFC1F44JX036122,JX036122DW,40963
2019,Honda,Civic EX-L,Used,"$26,998 ",4.9,275,Dealer,CarMax Grand Rapids (Kentwood) - Now offering Curbside Pickup,1,1,4431 28th St SE Kentwood,MI,49512,Good,4.8,4.8,4.9,4.8,4.9,4.9,Black,Black,Front-wheel Drive,32,42,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,19XFC1F77KE004679,22651707,37319
2020,Ford,Fusion Hybrid Titanium,Used,"$29,590 ",5,6,Dealer,AutoNation Toyota Libertyville,4.3,1142,1180 S Milwaukee Ave Libertyville,IL,60048,Fair,5,5,5,5,4.7,5,Magnetic Metallic,–,Front-wheel Drive,43,41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,3FA6P0RU1LR157185,LR157185,31923
2020,Mitsubishi,Mirage G4 LE,Used,"$17,450 ",5,6,Dealer,John Eagle Honda of Dallas,4.8,2054,5403 Lemmon Ave Dallas,TX,75209,Good,4.8,5,5,5,5,5,Mystic Black Metallic,Black,Front-wheel Drive,35,41,Gasoline,Automatic CVT,1.2L I3 12V MPFI DOHC,ML32F4FJ3LHF06108,LHF06108P,30912
2021,Toyota,Corolla Hatchback SE,Used,"$28,986 ",4.9,10,Dealer,Bennett Toyota,4.8,1828,1951 Lehigh St Allentown,PA,18103,Good,4.7,4.8,4.8,4.9,5,5,White,–,Front-wheel Drive,32,41,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC,JTND4MBE4M3119191,105043A,11818
2016,Honda,Civic LX,Used,"$21,991 ",4.6,339,Dealer,LeValley Chevrolet Buick GMC,4.7,99,2130 M-139 Benton Harbor,MI,49022,Fair,4.6,4.6,4.6,4.6,4.8,4.6,Modern Steel Metallic,Black,Front-wheel Drive,31,41,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,19XFC2F54GE069291,P1674,49846
2021,Kia,Forte FE,Used,"$16,999 ",4.8,46,Dealer,For Less Autohaus,4.1,28,2636 Brenner Dr Dallas,TX,75220,Great,4.8,4.9,4.8,4.8,4.9,4.8,Black,Gray,Front-wheel Drive,31,41,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,3KPF24AD4ME356753,356753,14606
2014,Mazda,Mazda3 i SV,Used,"$12,987 ",4.6,131,Dealer,North Imports,4.5,15,1705 Highway 13 East Burnsville,MN,55337,Good,4.5,4.6,4.5,4.7,4.8,4.6,Meteor Gray Mica,Black,Front-wheel Drive,30,41,Gasoline,Automatic 6-Speed,4 Cylinder Engine,JM1BM1T74E1172593,2593,54552
2018,Honda,Civic LX,Used,"$15,995 ",4.8,546,Dealer,"EXPORT AUTO SALES, INC.",5,1,2100 Nolensville Pike Nashville,TN,37211,Great,4.7,4.7,4.8,4.8,4.9,4.8,Black,Black,Front-wheel Drive,31,40,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,2HGFC2F52JH590068,1032010001,43374
2017,Honda,Civic LX,Used,"$19,981 ",4.8,743,Dealer,Sheehy Toyota of Stafford,4.8,1431,95 Garrisonville Rd Stafford,VA,22554,Good,4.7,4.7,4.8,4.8,4.8,4.8,White,Black / Ivory,Front-wheel Drive,31,40,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,19XFC2F6XHE035799,Q080469A,51430
2017,Honda,Civic EX,Used,"$19,995 ",4.8,743,Dealer,Your Choice Autos Waukegan,4,100,2741 Belvidere Rd Waukegan,IL,60085,Fair,4.7,4.7,4.8,4.8,4.8,4.8,Gray,Black,Front-wheel Drive,31,40,Gasoline,CVT,Engine: 1.5L I-4 DOHC 16-Valve Turbocharged,SHHFK7H55HU200770,KYC-200770,102164
2018,Honda,Civic EX,Used,"$23,289 ",4.8,546,Dealer,EchoPark Automotive DC (Laurel) - Formerly carbiz,4.6,212,8751 Freestate Dr #100 Laurel,MD,20723,Good,4.7,4.7,4.8,4.8,4.9,4.8,Cosmic Blue Metallic,Black,Front-wheel Drive,31,40,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,19XFC2F76JE010803,PJE010803,46826
2020,Honda,Civic LX,Used,"$23,995 ",4.9,169,Dealer,Absolute Auto Sales,4.9,215,1008 Centre St Brockton,MA,2302,Good,4.8,4.8,4.9,4.8,4.9,4.9,Silver,Black,Front-wheel Drive,31,40,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H33LU417158,22125,45548
2022,Honda,Civic LX,Used,"$28,998 ",5,3,Dealer,CarMax Orlando - Now offering Curbside Pickup and Home Delivery,2.2,25,6375 S Semoran Blvd Orlando,FL,32822,Good,5,5,5,5,5,5,White,Black,Front-wheel Drive,31,40,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,2HGFE2F21NH510118,22831458,11888
2019,Honda,Civic EX,Honda Certified,"$29,100 ",4.9,275,Dealer,Honda of Fort Worth,4.8,2493,3400 W Loop 820 S Fort Worth,TX,76116,Good,4.8,4.8,4.9,4.8,4.9,4.9,Modern Steel Metallic,Black / Ivory,Front-wheel Drive,31,40,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H60KU228900,HP228900,7869
2016,Nissan,Versa 1.6 S+,Used,"$7,995 ",4.2,91,Dealer,Patriot Auto Group LLC,5,1,3542C RICHMOND HWY Stafford,VA,22554,Great,4.3,4,4.2,4.3,4.3,4.4,Brilliant Silver,Charcoal,Front-wheel Drive,31,40,Gasoline,Automatic CVT,1.6L I4 16V MPFI DOHC,3N1CN7AP4GL910656,0656P0750,94289
2020,Toyota,Corolla SE,Used,"$18,500 ",4.7,233,Dealer,Best Western Motors,4.4,36,1819 S. 7th St Phoenix,AZ,85034,Great,4.7,4.7,4.7,4.7,4.8,4.8,Blue,Black,Front-wheel Drive,31,40,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC,5YFS4RCEXLP053694,53694,10514
2021,Toyota,Corolla SE,Used,"$23,990 ",4.8,74,Dealer,Lorenzo Buick GMC,4.6,2227,8447 NW 12th St Miami,FL,33126,Good,4.8,4.7,4.8,4.7,4.9,4.9,Blue Crush Metallic,Black,Front-wheel Drive,31,40,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC,JTDS4MCE2MJ065606,PB2338D,34683
2022,Toyota,Corolla SE,Used,"$29,398 ",5,2,Dealer,Toyota of Dallas,4.3,1363,2610 Forest Lane Dallas,TX,75234,Good,5,5,5,5,5,5,Ruby Flare Pearl,Light Gray,Front-wheel Drive,31,40,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC,JTDS4MCE4NJ083722,NJ083722,13984
2018,BMW,328d xDrive,Used,"$32,997 ",4.8,9,Dealer,Century Automotive,2.1,12,3800 University Dr NW Huntsville,AL,35816,Fair,4.9,4.8,4.9,4.7,4.7,4.6,Mineral Gray Metallic,Oyster,All-wheel Drive,30,40,Diesel,8-Speed Automatic,2.0L I4 16V DDI DOHC Turbo Diesel,WBA8F1C55JAE97301,E97301,30498
2017,Chevrolet,Cruze LS,Used,"$13,995 ",4.8,413,Dealer,North Texas Autos,3,2,1023 Dallas Dr Denton,TX,76205,Great,4.8,4.7,4.7,4.7,4.8,4.8,Black,Black,Front-wheel Drive,30,40,Gasoline,6-Speed Automatic,1.4L I4 16V GDI DOHC Turbo,1G1BC5SM6H7138960,NTN138960,47937
2017,Chevrolet,Cruze LT,Used,"$15,991 ",4.8,413,Dealer,Accelerate Auto Group,4.3,6,5201 Grisham Dr Rowlett,TX,75088,Fair,4.8,4.7,4.7,4.7,4.8,4.8,Summit White,Black,Front-wheel Drive,30,40,Gasoline,6-Speed Automatic,1.4L I4 16V GDI DOHC Turbo,1G1BE5SM7H7177924,STK177924,96288
2018,Ford,Focus SE,Used,"$17,998 ",4.6,199,Dealer,CarMax Dayton - Now offering Curbside Pickup,1,1,3555 Miamisburg-Centerville Rd West Carrollton,OH,45449,Good,4.6,4.6,4.5,4.6,4.7,4.7,Black,Black,Front-wheel Drive,30,40,Gasoline,Automatic,1.0L I3 12V GDI DOHC Turbo,1FADP3FE6JL232707,22084874,44920
2020,Hyundai,Elantra SEL,Used,"$17,549 ",4.8,134,Dealer,West Chicago Auto Mall,3.6,77,560 E North Ave West Chicago,IL,60185,Great,4.8,4.7,4.7,4.7,4.8,4.8,Gray,Gray,Front-wheel Drive,30,40,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,5NPD84LF6LH540087,2918,48001
2020,Hyundai,Elantra SE,Used,"$17,995 ",4.8,134,Dealer,Axis Motorcars,4.4,895,682 Garfield Ave Jersey City,NJ,7305,Great,4.8,4.7,4.7,4.7,4.8,4.8,Quartz White Pearl,Beige,Front-wheel Drive,30,40,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,5NPD74LF2LH505842,STK505842,21368
2020,Hyundai,Elantra Limited,Used,"$24,891 ",4.8,134,Dealer,Jack Carroll's Skagit Hyundai,4.7,369,1313 Goldenrod Rd Burlington,WA,98233,Good,4.8,4.7,4.7,4.7,4.8,4.8,Lakeside Blue,Gray,Front-wheel Drive,30,40,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,5NPD84LF6LH538825,220616,15976
